1531,0.437217,4.08343
6690,0.873051,34.3432
1970,0.924053,14.1394
7695,0.593636,1.92514
10985,0.935351,17.8833
19242,0.904953,11.636
21590,0.933498,20.2331
22866,0.891559,10.5947
28001,0.920465,13.9594
47716,0.924091,14.1516
141698,0.897137,15.0344
188455,0.375704,0.840782
656376,0.938467,19.3709
940,0.763989,7.75381
297,0.538594,3.05608
3235,0.42997,2.19813
8030,0.698272,8.53061
17362,0.803552,13.8946
27823,0.583146,3.9502
511,0.557368,10.1612
154,0.353752,2.82159
40,0.587478,1.46968
276,0.74554,3.46352
790,0.681438,2.5048
1024,0.776796,4.14931
1455,0.75536,3.88217
3406,0.774167,4.108
3670,0.550421,1.26839
3797,0.530789,1.18725
5094,0.760651,3.73739
7142,0.57194,1.37642
11304,0.555364,1.30239
23086,0.467429,0.949288
23250,0.529501,1.17592
24036,0.555973,1.29523
25223,0.567187,1.34654
25768,0.547339,1.24569
26874,0.506288,1.08177
28115,0.506505,1.08694
35416,0.532568,1.19035
49956,0.496353,1.04715
70323,0.515076,1.11532
73416,0.764226,3.78066
83365,0.514602,1.11151
129929,0.507106,1.07901
651129,0.733149,3.35252
17876,0.31468,1.42476
990,0.688002,2.70941
5341,0.738391,3.05958
5502,0.761457,3.52164
7682,0.901659,12.4045
7683,0.764666,3.55254
8745,0.724503,3.23188
10553,0.834825,5.83478
17795,0.829853,5.60465
17894,0.739816,3.106
19170,0.747825,3.2196
22434,0.706906,2.64414
28492,0.732864,3.19656
31340,0.79605,4.02371
35383,0.758648,3.55416
44752,0.637261,2.18642
47612,0.70973,2.63477
88014,0.69732,2.48678
90311,0.652096,2.2038
108114,0.783928,3.89224
21160,0.864361,17.9494
30908,0.392611,5.75201
617,0.883114,17.1416
3067,0.484494,3.40027
773,0.899505,28.5051
10599,0.55684,10.2745
23245,0.174326,2.95861
1709,0.728053,3.7311
5465,0.299918,8.51694
2711,0.823453,9.74447
133817,0.362347,1.75577
20200,0.782451,11.4705
8170,0.859474,14.9444
22737,0.850409,12.8235
25856,0.881847,17.3182
87205,0.708887,7.23938
1161,0.568981,1.67033
12575,0.29986,0.570622
20292,0.492107,1.16894
20563,0.655147,2.4096
21063,0.5234,1.4464
21892,0.788589,4.50128
205523,0.354796,0.704946
21051,0.227005,4.08528
192357,0.67724,5.69542
8182,0.313484,6.77076
124,0.748129,17.5729
1172,0.603196,7.03615
1255,0.369484,1.67943
18113,0.479373,6.19299
18569,0.246201,1.4983
18635,0.510461,3.82165
7701,0.217348,3.73632
29505,0.271463,0.965423
